Class,OCavg,WMC
"org.apache.qpid.qmf2.agent.Agent","3,06",101
"org.apache.qpid.qmf2.agent.Agent.Heartbeat","3,00",3
"org.apache.qpid.qmf2.agent.AgentExternal","1,40",14
"org.apache.qpid.qmf2.agent.MethodCallParams","1,33",8
"org.apache.qpid.qmf2.agent.MethodCallWorkItem","1,00",2
"org.apache.qpid.qmf2.agent.QmfAgentData","1,20",24
"org.apache.qpid.qmf2.agent.QueryWorkItem","1,00",3
"org.apache.qpid.qmf2.agent.ResubscribeParams","1,25",5
"org.apache.qpid.qmf2.agent.ResubscribeRequestWorkItem","1,00",2
"org.apache.qpid.qmf2.agent.SubscribeRequestWorkItem","1,00",2
"org.apache.qpid.qmf2.agent.Subscription","2,00",24
"org.apache.qpid.qmf2.agent.SubscriptionParams","1,00",6
"org.apache.qpid.qmf2.agent.UnsubscribeRequestWorkItem","1,00",2
"org.apache.qpid.qmf2.common.AMQPMessage","2,67",24
"org.apache.qpid.qmf2.common.BlockingNotifier","1,50",3
"org.apache.qpid.qmf2.common.BooleanEquals","1,25",5
"org.apache.qpid.qmf2.common.BooleanExists","1,00",4
"org.apache.qpid.qmf2.common.BooleanExpression","5,75",23
"org.apache.qpid.qmf2.common.BooleanFalse","1,00",3
"org.apache.qpid.qmf2.common.BooleanGreaterEqual","1,25",5
"org.apache.qpid.qmf2.common.BooleanGreaterThan","1,25",5
"org.apache.qpid.qmf2.common.BooleanLessEqual","1,25",5
"org.apache.qpid.qmf2.common.BooleanLessThan","1,25",5
"org.apache.qpid.qmf2.common.BooleanNotEquals","1,25",5
"org.apache.qpid.qmf2.common.BooleanRegexMatch","1,25",5
"org.apache.qpid.qmf2.common.BooleanTrue","1,00",3
"org.apache.qpid.qmf2.common.Expression","5,00",5
"org.apache.qpid.qmf2.common.Handle","1,00",5
"org.apache.qpid.qmf2.common.LogicalAnd","2,00",4
"org.apache.qpid.qmf2.common.LogicalExpression","3,00",3
"org.apache.qpid.qmf2.common.LogicalNot","2,00",4
"org.apache.qpid.qmf2.common.LogicalOr","2,00",4
"org.apache.qpid.qmf2.common.NotifierWrapper","1,00",2
"org.apache.qpid.qmf2.common.NullQmfEventListener","1,00",1
"org.apache.qpid.qmf2.common.ObjectId","1,40",14
"org.apache.qpid.qmf2.common.QmfData","2,00",46
"org.apache.qpid.qmf2.common.QmfDescribed","1,20",6
"org.apache.qpid.qmf2.common.QmfEvent","2,00",18
"org.apache.qpid.qmf2.common.QmfException","1,00",1
"org.apache.qpid.qmf2.common.QmfManaged","1,20",6
"org.apache.qpid.qmf2.common.QmfQuery","2,14",30
"org.apache.qpid.qmf2.common.QmfQueryTarget",n/a,0
"org.apache.qpid.qmf2.common.QmfType",n/a,0
"org.apache.qpid.qmf2.common.SchemaClass","1,14",8
"org.apache.qpid.qmf2.common.SchemaClassId","1,50",18
"org.apache.qpid.qmf2.common.SchemaEventClass","1,69",27
"org.apache.qpid.qmf2.common.SchemaMethod","1,81",29
"org.apache.qpid.qmf2.common.SchemaObjectClass","1,82",40
"org.apache.qpid.qmf2.common.SchemaProperty","2,53",48
"org.apache.qpid.qmf2.common.WorkItem","1,00",4
"org.apache.qpid.qmf2.common.WorkItem.WorkItemType",n/a,0
"org.apache.qpid.qmf2.common.WorkQueue","1,25",5
"org.apache.qpid.qmf2.console.Agent","1,61",50
"org.apache.qpid.qmf2.console.AgentAccessWorkItem","1,33",4
"org.apache.qpid.qmf2.console.AgentAddedWorkItem","1,00",1
"org.apache.qpid.qmf2.console.AgentDeletedWorkItem","1,00",1
"org.apache.qpid.qmf2.console.AgentHeartbeatWorkItem","1,00",1
"org.apache.qpid.qmf2.console.AgentRestartedWorkItem","1,00",1
"org.apache.qpid.qmf2.console.Console","3,50",189
"org.apache.qpid.qmf2.console.EventReceivedWorkItem","1,00",2
"org.apache.qpid.qmf2.console.MethodResponseWorkItem","1,00",2
"org.apache.qpid.qmf2.console.MethodResult","2,50",15
"org.apache.qpid.qmf2.console.ObjectUpdateWorkItem","1,00",2
"org.apache.qpid.qmf2.console.QmfConsoleData","1,87",28
"org.apache.qpid.qmf2.console.SubscribeIndication","1,00",3
"org.apache.qpid.qmf2.console.SubscribeParams","1,29",9
"org.apache.qpid.qmf2.console.SubscribeResponseWorkItem","1,00",2
"org.apache.qpid.qmf2.console.SubscriptionIndicationWorkItem","1,00",2
"org.apache.qpid.qmf2.console.SubscriptionManager","1,21",17
"org.apache.qpid.qmf2.test.AgentExternalTest","4,56",41
"org.apache.qpid.qmf2.test.AgentExternalTest.Reaper","3,00",3
"org.apache.qpid.qmf2.test.AgentSubscriptionTestConsole","4,33",13
"org.apache.qpid.qmf2.test.AgentTest","3,60",18
"org.apache.qpid.qmf2.test.AgentTestConsole","5,33",16
"org.apache.qpid.qmf2.test.BigPayloadAgentTest","1,80",9
"org.apache.qpid.qmf2.test.BigPayloadAgentTestConsole","3,00",9
"org.apache.qpid.qmf2.test.BrokerSubscriptionTestConsole","5,33",16
"org.apache.qpid.qmf2.test.InvokeMethodTest","2,00",6
"org.apache.qpid.qmf2.test.PartialGetObjectsTest","2,67",8
"org.apache.qpid.qmf2.test.SchemaTest","2,67",8
"org.apache.qpid.qmf2.test.Test1","4,50",9
"org.apache.qpid.qmf2.test.Test2","3,50",7
"org.apache.qpid.qmf2.test.Test3","1,00",2
"org.apache.qpid.qmf2.test.Test4","2,29",16
"org.apache.qpid.qmf2.test.URLTest","1,00",1
"org.apache.qpid.qmf2.tools.ConnectionAudit","5,12",41
"org.apache.qpid.qmf2.tools.ConnectionLogger","5,67",34
"org.apache.qpid.qmf2.tools.QpidConfig","10,38",166
"org.apache.qpid.qmf2.tools.QpidCtrl","12,00",24
"org.apache.qpid.qmf2.tools.QpidPrintEvents","3,67",11
"org.apache.qpid.qmf2.tools.QpidQueueStats","6,50",26
"org.apache.qpid.qmf2.tools.QpidQueueStats.Stats","1,00",4
"org.apache.qpid.qmf2.tools.QueueFuse","5,00",25
"org.apache.qpid.qmf2.util.ConnectionHelper","8,00",64
"org.apache.qpid.qmf2.util.GetOpt","4,67",14
"org.apache.qpid.restapi.ConnectionProxy","1,50",18
"org.apache.qpid.restapi.ConnectionStore","2,00",8
"org.apache.qpid.restapi.FileServer","4,86",34
"org.apache.qpid.restapi.JSON","3,00",24
"org.apache.qpid.restapi.JSONMapParser","4,14",58
"org.apache.qpid.restapi.QpidRestAPI","6,00",12
"org.apache.qpid.restapi.QpidServer","8,33",50
"org.apache.qpid.restapi.httpserver.Authenticator","1,75",7
"org.apache.qpid.restapi.httpserver.Authenticator.CacheUpdater","1,00",1
"org.apache.qpid.restapi.httpserver.Delegator","3,00",6
"org.apache.qpid.restapi.httpserver.HttpExchangeTransaction","1,67",30
"org.apache.qpid.server.qmf2.QmfManagementAgent","5,92",71
"org.apache.qpid.server.qmf2.QmfManagementPluginImpl","2,33",14
"org.apache.qpid.server.qmf2.agentdata.Binding","1,11",10
"org.apache.qpid.server.qmf2.agentdata.Broker","6,80",34
"org.apache.qpid.server.qmf2.agentdata.Broker.NameParser","3,56",32
"org.apache.qpid.server.qmf2.agentdata.Connection","1,57",11
"org.apache.qpid.server.qmf2.agentdata.Exchange","1,75",14
"org.apache.qpid.server.qmf2.agentdata.Queue","1,62",13
"org.apache.qpid.server.qmf2.agentdata.Session","1,00",3
"org.apache.qpid.server.qmf2.agentdata.Subscription","1,11",10

