Method,CALL,CALLED,IMP,LOC,NBD,NP,STAT,v(G)
"org.argouml.application.Main.addPostLoadAction(Runnable)",1,2,n/a,3,0,1,1,1
"org.argouml.application.Main.main(String[])",147,0,n/a,223,4,1,172,24
"org.argouml.application.PostLoad.PostLoad(Vector)",0,1,n/a,1,0,1,1,1
"org.argouml.application.PostLoad.run()",7,0,n/a,11,2,0,12,4
"org.argouml.application.PostLoad.setThread(Thread)",0,1,n/a,1,0,1,1,1
"org.argouml.application.PreloadClasses.run()",2,0,n/a,61,0,0,55,1
"org.argouml.application.StartCritics.run()",16,0,n/a,19,1,0,14,2
"org.argouml.application.api.Argo.Argo()",0,0,n/a,3,0,0,0,1
"org.argouml.application.api.Argo.getArgoHome()",2,0,n/a,3,0,0,1,1
"org.argouml.application.api.Argo.getArgoRoot()",2,0,n/a,3,0,0,1,1
"org.argouml.application.api.Argo.getDirectory()",2,0,n/a,8,0,0,1,1
"org.argouml.application.api.Argo.getPlugins(Class)",2,0,n/a,7,0,1,1,1
"org.argouml.application.api.Argo.getPlugins(Class,Object[])",2,0,n/a,9,0,2,1,1
"org.argouml.application.api.Argo.initializeModules()",2,0,n/a,5,0,0,1,1
"org.argouml.application.api.Argo.localize(String,String)",1,0,n/a,6,0,2,1,1
"org.argouml.application.api.Argo.lookupIconResource(String)",1,0,n/a,3,0,1,1,1
"org.argouml.application.api.Argo.lookupIconResource(String,String)",1,0,n/a,3,0,2,1,1
"org.argouml.application.api.Argo.setDirectory(String)",1,0,n/a,8,0,1,1,1
"org.argouml.application.api.ArgoModule.getModuleAuthor()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.getModuleDescription()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.getModuleKey()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.getModuleName()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.getModulePopUpActions(Vector,Object)",n/a,0,0,n/a,n/a,2,n/a,n/a
"org.argouml.application.api.ArgoModule.getModuleVersion()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.initializeModule()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.isModuleEnabled()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoModule.setModuleEnabled(boolean)",n/a,0,0,n/a,n/a,1,n/a,n/a
"org.argouml.application.api.ArgoModule.shutdownModule()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoSingletonModule.activateSingleton()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoSingletonModule.canActivateSingleton()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoSingletonModule.canDeactivateSingleton()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoSingletonModule.deactivateSingleton()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.ArgoSingletonModule.getSingletonType()",n/a,0,0,n/a,n/a,0,n/a,n/a
"org.argouml.application.api.Configuration.Configuration()",2,1,n/a,5,0,0,1,1
"org.argouml.application.api.Configuration.addListener(ConfigurationKey,PropertyChangeListener)",1,0,n/a,8,0,2,1,1
"org.argouml.application.api.Configuration.addListener(PropertyChangeListener)",1,0,n/a,7,0,1,1,1
"org.argouml.application.api.Configuration.getBoolean(ConfigurationKey)",1,0,n/a,9,0,1,1,1
"org.argouml.application.api.Configuration.getBoolean(ConfigurationKey,boolean)",1,1,n/a,11,0,2,1,1
"org.argouml.application.api.Configuration.getConfigurationHandler()",0,0,n/a,8,0,0,1,1
"org.argouml.application.api.Configuration.getDouble(ConfigurationKey)",1,0,n/a,9,0,1,1,1
"org.argouml.application.api.Configuration.getDouble(ConfigurationKey,double)",1,1,n/a,11,0,2,1,1
"org.argouml.application.api.Configuration.getFactory()",1,0,n/a,12,0,0,1,1
"org.argouml.application.api.Configuration.getInteger(ConfigurationKey)",1,0,n/a,9,0,1,1,1
"org.argouml.application.api.Configuration.getInteger(ConfigurationKey,int)",1,1,n/a,11,0,2,1,1
"org.argouml.application.api.Configuration.getString(ConfigurationKey)",1,0,n/a,10,0,1,1,1
"org.argouml.application.api.Configuration.getString(ConfigurationKey,String)",1,1,n/a,11,0,2,1,1
"org.argouml.application.api.Configuration.load()",1,0,n/a,18,0,0,1,1
"org.argouml.application.api.Configuration.load(File)",1,0,n/a,9,0,1,1,1
